city,loc,pop,state,zip
UNADILLA,"[-75.336589, 42.325199]",4027,NY,13849
VESTAL,"[-76.011757, 42.077106]",27686,NY,13850
WALTON,"[-75.153177, 42.175647]",7282,NY,13856
WELLS BRIDGE,"[-75.256565, 42.357973]",232,NY,13859
WEST ONEONTA,"[-75.095689, 42.453854]",3471,NY,13861
WHITNEY POINT,"[-75.952231, 42.338449]",4105,NY,13862
WILLET,"[-75.901434, 42.452044]",188,NY,13863
WILLSEYVILLE,"[-76.389721, 42.302915]",697,NY,13864
WINDSOR,"[-75.672828, 42.074482]",6820,NY,13865
BINGHAMTON,"[-75.886517, 42.146307]",21666,NY,13901
BINGHAMTON,"[-75.897676, 42.081102]",20353,NY,13903
BINGHAMTON,"[-75.865269, 42.11714]",10257,NY,13904
BINGHAMTON,"[-75.930865, 42.115051]",30741,NY,13905
AKRON,"[-78.508365, 43.024944]",7924,NY,14001
ALABAMA,"[-78.385231, 43.071888]",68,NY,14003
ALDEN,"[-78.525707, 42.89839]",12711,NY,14004
ALEXANDER,"[-78.25889, 42.915851]",1692,NY,14005
ANGOLA,"[-79.049651, 42.636581]",11509,NY,14006
APPLETON,"[-78.637217, 43.310535]",940,NY,14008
ARCADE,"[-78.413418, 42.562995]",4898,NY,14009
ATTICA,"[-78.279826, 42.849918]",9372,NY,14011
BARKER,"[-78.542004, 43.336779]",2441,NY,14012
BASOM,"[-78.395143, 43.080724]",2062,NY,14013
BATAVIA,"[-78.192869, 43.000316]",22835,NY,14020
BLISS,"[-78.258084, 42.579936000000004]",1498,NY,14024
BOSTON,"[-78.73909, 42.631384]",2617,NY,14025
BOWMANSVILLE,"[-78.682961, 42.947826]",285,NY,14026
BURT,"[-78.714097, 43.322089]",2363,NY,14028
CHAFFEE,"[-78.502543, 42.560491999999996]",1481,NY,14030
CLARENCE,"[-78.616228, 42.980965]",7712,NY,14031
CLARENCE CENTER,"[-78.63903, 43.0362]",3996,NY,14032
COLDEN,"[-78.692078, 42.655052]",2380,NY,14033
COLLINS,"[-78.892974, 42.500082]",2194,NY,14034
CORFU,"[-78.392906, 42.977734]",4841,NY,14036
COWLESVILLE,"[-78.448136, 42.811245]",1017,NY,14037
DALE,"[-78.174865, 42.826284]",72,NY,14039
DARIEN CENTER,"[-78.387782, 42.894806]",1817,NY,14040
DAYTON,"[-78.981842, 42.423075]",246,NY,14041
DELEVAN,"[-78.479326, 42.492598]",4516,NY,14042
DEPEW,"[-78.704052, 42.904973]",26460,NY,14043
DERBY,"[-78.983365, 42.697445]",6436,NY,14047
VAN BUREN BAY,"[-79.329366, 42.475907]",20303,NY,14048
SWORMVILLE,"[-78.705035, 43.029168]",12714,NY,14051
EAST AURORA,"[-78.601992, 42.770138]",17244,NY,14052
EAST BETHANY,"[-78.134206, 42.916619]",1569,NY,14054
EAST CONCORD,"[-78.610972, 42.546585]",1216,NY,14055
EDEN,"[-78.878077, 42.650552]",7427,NY,14057
ELBA,"[-78.170383, 43.089739]",2331,NY,14058
ELMA,"[-78.634257, 42.834002]",8130,NY,14059
FARMERSVILLE STA,"[-78.291533, 42.44827]",395,NY,14060
FORESTVILLE,"[-79.160743, 42.448229]",2858,NY,14062
FREDONIA,"[-79.333914, 42.433345]",10738,NY,14063
FREEDOM,"[-78.35013, 42.489693]",2001,NY,14065
GAINESVILLE,"[-78.179516, 42.61897]",1536,NY,14066
GASPORT,"[-78.574536, 43.210587]",6010,NY,14067
GETZVILLE,"[-78.753184, 43.023989]",5685,NY,14068
GLENWOOD,"[-78.638634, 42.600094]",632,NY,14069
GOWANDA,"[-78.933902, 42.471202]",6665,NY,14070
GRAND ISLAND,"[-78.959059, 43.018266]",17561,NY,14072
HAMBURG,"[-78.838853, 42.733404]",38851,NY,14075
HOLLAND,"[-78.543889, 42.639582]",4004,NY,14080
IRVING,"[-79.059634, 42.573866]",2993,NY,14081
JAVA CENTER,"[-78.392527, 42.66342]",613,NY,14082
JAVA VILLAGE,"[-78.44101, 42.676852]",35,NY,14083
LAKE VIEW,"[-78.932693, 42.721535]",4936,NY,14085
LANCASTER,"[-78.663085, 42.901680999999996]",24540,NY,14086
LAWTONS,"[-78.921222, 42.540364]",1510,NY,14091
LEWISTON,"[-79.021547, 43.172165]",10540,NY,14092
LOCKPORT,"[-78.692344, 43.159987]",48398,NY,14094
LYNDONVILLE,"[-78.381057, 43.323312]",3109,NY,14098
MACHIAS,"[-78.50586, 42.408271]",1860,NY,14101
MARILLA,"[-78.558656, 42.833216]",1063,NY,14102
MEDINA,"[-78.387422, 43.218428]",12042,NY,14103
MIDDLEPORT,"[-78.484055, 43.218257]",3929,NY,14105
NEWFANE,"[-78.706972, 43.272443]",5261,NY,14108
NORTH COLLINS,"[-78.91073, 42.589648]",2429,NY,14111
NORTH JAVA,"[-78.337958, 42.677631]",606,NY,14113
NORTH TONAWANDA,"[-78.850997, 43.049828]",51399,NY,14120
OAKFIELD,"[-78.270179, 43.071726]",3760,NY,14125
ORCHARD PARK,"[-78.751834, 42.763891]",26554,NY,14127
PERRYSBURG,"[-78.998108, 42.472289]",2198,NY,14129
RANSOMVILLE,"[-78.898159, 43.228602]",5836,NY,14131
SANBORN,"[-78.878522, 43.141879]",5167,NY,14132
SARDINIA,"[-78.506415, 42.532976]",133,NY,14134
SILVER CREEK,"[-79.162805, 42.535675]",5768,NY,14136
SOUTH DAYTON,"[-79.050132, 42.371803]",1600,NY,14138
SOUTH WALES,"[-78.545219, 42.706271]",2269,NY,14139
SPRINGVILLE,"[-78.684717, 42.519982]",7146,NY,14141
STAFFORD,"[-78.089783, 42.982894]",2076,NY,14143
STRYKERSVILLE,"[-78.434714, 42.724892]",1374,NY,14145
TONAWANDA,"[-78.85472, 43.002837]",53410,NY,14150
VARYSBURG,"[-78.316749, 42.745935]",1782,NY,14167
WEST FALLS,"[-78.677937, 42.70532]",2217,NY,14170
WEST VALLEY,"[-78.627978, 42.43153]",2600,NY,14171
WILSON,"[-78.824396, 43.29681]",3441,NY,14172
YOUNGSTOWN,"[-79.024545, 43.246075]",5728,NY,14174
BUFFALO,"[-78.884575, 42.896659]",16682,NY,14201
BUFFALO,"[-78.877948, 42.887038]",2828,NY,14202
BUFFALO,"[-78.868143, 42.893938]",1211,NY,14203
BUFFALO,"[-78.859736, 42.883978]",10962,NY,14204
BUFFALO,"[-78.810375, 42.881132]",25496,NY,14206
BUFFALO,"[-78.897815, 42.949062]",23890,NY,14207
BUFFALO,"[-78.850487, 42.915416]",14705,NY,14208
BUFFALO,"[-78.865629, 42.913]",8865,NY,14209
BUFFALO,"[-78.82055, 42.861432]",18506,NY,14210
BUFFALO,"[-78.822477, 42.908153]",38411,NY,14211
BUFFALO,"[-78.824458, 42.894553]",19935,NY,14212
BUFFALO,"[-78.889461, 42.916675]",32876,NY,14213
BUFFALO,"[-78.837403, 42.941429]",21770,NY,14214
BUFFALO,"[-78.811504, 42.933536]",46789,NY,14215
BUFFALO,"[-78.859865, 42.949914]",24852,NY,14216
KENMORE,"[-78.872948, 42.968618]",25547,NY,14217
LACKAWANNA,"[-78.817263, 42.818301]",22309,NY,14218
BLASDELL,"[-78.822228, 42.790039]",13376,NY,14219
BUFFALO,"[-78.818205, 42.844138]",28994,NY,14220
WILLIAMSVILLE,"[-78.738044, 42.985621]",54703,NY,14221
BUFFALO,"[-78.876333, 42.916401]",12712,NY,14222
BUFFALO,"[-78.845, 42.973088]",25995,NY,14223
WEST SENECA,"[-78.75109, 42.836162]",41539,NY,14224
CHEEKTOWAGA,"[-78.760855, 42.928641999999996]",37707,NY,14225
AMHERST,"[-78.799849, 42.967232]",31912,NY,14226
CHEEKTOWAGA,"[-78.741936, 42.877467]",25240,NY,14227
AMHERST,"[-78.774604, 43.018414]",1813,NY,14228
NIAGARA FALLS,"[-79.041443, 43.095467]",15756,NY,14301
NIAGARA FALLS,"[-79.036958, 43.087777]",8616,NY,14303
NIAGARA FALLS,"[-78.964375, 43.090844]",30527,NY,14304
NIAGARA FALLS,"[-79.037804, 43.114648]",22726,NY,14305
ADAMS BASIN,"[-77.853905, 43.190644]",989,NY,14410
ALBION,"[-78.206846, 43.239827]",12743,NY,14411
AVON,"[-77.727398, 42.903034]",6187,NY,14414
BELLONA,"[-77.021737, 42.755442]",182,NY,14415
BERGEN,"[-77.96033, 43.086937]",3092,NY,14416
BRANCHPORT,"[-77.205165, 42.606537]",1126,NY,14418
BROCKPORT,"[-77.936797, 43.21284]",17492,NY,14420
BYRON,"[-78.062912, 43.073794]",2499,NY,14422
CALEDONIA,"[-77.849295, 42.956661]",4942,NY,14423
CANANDAIGUA,"[-77.284561, 42.868866]",20748,NY,14424
CANANDAIGUA,"[-77.341139, 42.959591]",10082,NY,14425
CASTILE,"[-78.054728, 42.635883]",2169,NY,14427
CLIFTON,"[-77.860339, 43.089617]",6481,NY,14428
CLIFTON SPRINGS,"[-77.143975, 42.963175]",5060,NY,14432
CLYDE,"[-76.872464, 43.085549]",4565,NY,14433
CONESUS,"[-77.67469, 42.721643]",2364,NY,14435
DANSVILLE,"[-77.710907, 42.569975]",8804,NY,14437
DRESDEN,"[-76.956389, 42.684565]",381,NY,14441
EAST ROCHESTER,"[-77.490596, 43.112808]",8868,NY,14445
FAIRPORT,"[-77.435956, 43.089198]",37337,NY,14450
GENESEO,"[-77.799552, 42.793783]",9551,NY,14454
GENEVA,"[-76.991349, 42.86372]",20112,NY,14456
GROVELAND,"[-77.757334, 42.676046]",483,NY,14462
HAMLIN,"[-77.926996, 43.307577]",7355,NY,14464
HEMLOCK,"[-77.58199, 42.779957]",1160,NY,14466
HENRIETTA,"[-77.612224, 43.048264]",8450,NY,14467
HILTON,"[-77.790511, 43.292344]",15837,NY,14468
BLOOMFIELD,"[-77.459983, 42.885101]",6129,NY,14469
HULBERTON,"[-78.040392, 43.225494]",8375,NY,14470
HONEOYE,"[-77.505434, 42.768637]",2704,NY,14471
HONEOYE FALLS,"[-77.57812, 42.969499]",6768,NY,14472
IONIA,"[-77.50086, 42.938002]",232,NY,14475
KENDALL,"[-78.030359, 43.328415]",2186,NY,14476
KENT,"[-78.135533, 43.334064]",2040,NY,14477
BLUFF POINT,"[-77.105197, 42.601032000000004]",1555,NY,14478
LAKEVILLE,"[-77.714865, 42.82957]",724,NY,14480
LEICESTER,"[-77.898976, 42.773903]",1881,NY,14481
LE ROY,"[-77.985097, 42.977377]",9037,NY,14482
LIMA,"[-77.608305, 42.901234]",4666,NY,14485
LINWOOD,"[-77.910422, 42.884721]",860,NY,14486
LIVONIA,"[-77.663472, 42.813514]",6108,NY,14487
LYONS,"[-76.989575, 43.07768]",8168,NY,14489
MACEDON,"[-77.337199, 43.078366]",8486,NY,14502
MANCHESTER,"[-77.229733, 42.969874]",1522,NY,14504
MARION,"[-77.186277, 43.154612]",4663,NY,14505
MENDON,"[-77.50013, 42.995307]",864,NY,14506
MIDDLESEX,"[-77.280509, 42.697624]",1256,NY,14507
TUSCARORA,"[-77.861083, 42.705431]",7145,NY,14510
NAPLES,"[-77.390106, 42.640425]",4616,NY,14512
NEWARK,"[-77.094602, 43.051909]",14670,NY,14513
NORTH CHILI,"[-77.800518, 43.118601]",4014,NY,14514
NORTH ROSE,"[-76.915152, 43.196439]",2428,NY,14516
NUNDA,"[-77.918006, 42.586708]",2439,NY,14517
ONTARIO,"[-77.308781, 43.229092]",10016,NY,14519
HAYT CORNERS,"[-76.821575, 42.676979]",3225,NY,14521
PALMYRA,"[-77.221798, 43.062192]",9486,NY,14522
LINWOOD,"[-78.014698, 42.880088]",2628,NY,14525
PENFIELD,"[-77.456043, 43.139638]",16675,NY,14526
PENN YAN,"[-77.05687, 42.664547999999996]",11609,NY,14527
PERRY,"[-78.005882, 42.722852]",6218,NY,14530
PHELPS,"[-77.047264, 42.958178]",4366,NY,14532
WADSWORTH,"[-77.882545, 42.84269]",2094,NY,14533
PITTSFORD,"[-77.514067, 43.069511]",27413,NY,14534
PORTAGEVILLE,"[-78.085635, 42.556957]",980,NY,14536
MAC DOUGALL,"[-76.853582, 42.761378]",3150,NY,14541
WEST RUSH,"[-77.665381, 42.998934]",2481,NY,14543
RUSHVILLE,"[-77.239538, 42.75973]",1948,NY,14544
SCOTTSBURG,"[-77.682633, 42.658907]",612,NY,14545
SCOTTSVILLE,"[-77.774256, 43.02462]",5604,NY,14546
SHORTSVILLE,"[-77.227312, 42.969034]",4524,NY,14548
ROCK GLEN,"[-78.092994, 42.669446]",1824,NY,14550
SODUS,"[-77.05141, 43.221681]",5831,NY,14551
SODUS POINT,"[-76.98833, 43.265058]",1058,NY,14555
SPENCERPORT,"[-77.804333, 43.189502]",14137,NY,14559
SPRINGWATER,"[-77.577503, 42.677598]",2319,NY,14560
STANLEY,"[-77.120702, 42.830277]",3102,NY,14561
VICTOR,"[-77.417982, 42.986597]",7322,NY,14564
WALWORTH,"[-77.28582, 43.140161]",5461,NY,14568
WARSAW,"[-78.142899, 42.741035]",5811,NY,14569
WATERPORT,"[-78.242958, 43.332563]",1669,NY,14571
WAYLAND,"[-77.590613, 42.559274]",5626,NY,14572
WEBSTER,"[-77.461587, 43.219563]",35072,NY,14580
WEST HENRIETTA,"[-77.687131, 43.039667]",5397,NY,14586
WILLIAMSON,"[-77.170011, 43.242071]",7947,NY,14589
WOLCOTT,"[-76.821748, 43.234129]",5356,NY,14590
WYOMING,"[-78.083292, 42.83175]",2074,NY,14591
ROCHESTER,"[-77.607978, 43.157729]",1434,NY,14604
ROCHESTER,"[-77.600711, 43.169758]",15196,NY,14605
ROCHESTER,"[-77.684488, 43.168455]",29822,NY,14606
ROCHESTER,"[-77.588976, 43.150086]",16479,NY,14607
ROCHESTER,"[-77.625803, 43.152144]",14631,NY,14608
ROCHESTER,"[-77.563701, 43.174001]",45805,NY,14609
ROCHESTER,"[-77.549501, 43.14524]",15167,NY,14610
ROCHESTER,"[-77.639353, 43.148375]",15951,NY,14611
ROCHESTER,"[-77.665228, 43.256576]",35820,NY,14612
ROCHESTER,"[-77.639276, 43.18308]",15525,NY,14613
ROCHESTER,"[-77.61419, 43.155823]",1430,NY,14614
ROCHESTER,"[-77.652118, 43.20575]",16000,NY,14615
GREECE,"[-77.651238, 43.232359]",26500,NY,14616
ROCHESTER,"[-77.599442, 43.220258]",24296,NY,14617
TWELVE CORNERS,"[-77.558801, 43.115416]",21912,NY,14618
ROCHESTER,"[-77.6481, 43.136685]",19393,NY,14619
ROCHESTER,"[-77.606239, 43.131711]",29819,NY,14620
ROCHESTER,"[-77.604284, 43.183362]",36055,NY,14621
ROCHESTER,"[-77.55549, 43.213959]",12489,NY,14622
ROCHESTER,"[-77.634412, 43.083371]",25127,NY,14623
WESTGATE,"[-77.733552, 43.12589]",35748,NY,14624
PANORAMA,"[-77.503188, 43.14949]",12009,NY,14625
ROCHESTER,"[-77.703996, 43.21257]",25574,NY,14626
JAMESTOWN,"[-79.243989, 42.092845]",45344,NY,14701
ALLEGANY,"[-78.499883, 42.091827]",7885,NY,14706
ALMA,"[-78.040012, 42.016859]",200,NY,14708
ANGELICA,"[-77.994671, 42.326339]",1046,NY,14709
ASHVILLE,"[-79.405624, 42.108376]",2450,NY,14710
BELFAST,"[-78.094281, 42.320013]",2210,NY,14711
BEMUS POINT,"[-79.35808, 42.151346]",3591,NY,14712
BLACK CREEK,"[-78.231249, 42.285528]",757,NY,14714
BOLIVAR,"[-78.144834, 42.070442]",3173,NY,14715
BROCTON,"[-79.43443, 42.393973]",1863,NY,14716
CANEADEA,"[-78.197321, 42.370304]",798,NY,14717
CASSADAGA,"[-79.299282, 42.350356]",1977,NY,14718
CATTARAUGUS,"[-78.888528, 42.333291]",3853,NY,14719
CERES,"[-78.272686, 41.99939]",33,NY,14721
CHERRY CREEK,"[-79.120275, 42.312725]",1408,NY,14723
CLYMER,"[-79.668532, 42.055699]",2810,NY,14724
CONEWANGO VALLEY,"[-79.021956, 42.262467]",1562,NY,14726
CUBA,"[-78.275074, 42.18819]",5306,NY,14727
DEWITTVILLE,"[-79.419303, 42.239413]",1159,NY,14728
EAST OTTO,"[-78.743167, 42.3971]",1050,NY,14729
ELLICOTTVILLE,"[-78.66064, 42.295873]",1767,NY,14731
FALCONER,"[-79.189499, 42.123915]",3812,NY,14733
FILLMORE,"[-78.106232, 42.463605]",2463,NY,14735
FINDLEY LAKE,"[-79.734908, 42.120401]",77,NY,14736
FRANKLINVILLE,"[-78.440043, 42.338823]",3965,NY,14737
FREWSBURG,"[-79.131797, 42.052753]",3919,NY,14738
FRIENDSHIP,"[-78.13588, 42.190666]",3214,NY,14739
GERRY,"[-79.164865, 42.214728]",1836,NY,14740
GREAT VALLEY,"[-78.620811, 42.208292]",2217,NY,14741
ISCHUA,"[-78.400611, 42.179747]",2635,NY,14743
HOUGHTON,"[-78.109506, 42.411567]",173,NY,14744
KENNEDY,"[-79.096416, 42.150776]",2719,NY,14747
KILL BUCK,"[-78.642604, 42.141005]",47,NY,14748
LAKEWOOD,"[-79.329124, 42.097256]",5113,NY,14750
LIMESTONE,"[-78.631979, 42.063945]",1981,NY,14753
LITTLE GENESEE,"[-78.235056, 42.023964]",1240,NY,14754
LITTLE VALLEY,"[-78.809286, 42.254121]",2311,NY,14755
MAYVILLE,"[-79.496325, 42.240906]",3378,NY,14757
OLEAN,"[-78.423265, 42.0787]",22055,NY,14760
PANAMA,"[-79.481536, 42.056965]",2437,NY,14767
PORTLAND,"[-79.458894, 42.385792]",2001,NY,14769
PORTVILLE,"[-78.331353, 42.027253]",1743,NY,14770
RANDOLPH,"[-78.960034, 42.163143]",4253,NY,14772
RIPLEY,"[-79.712103, 42.248175]",2876,NY,14775
RUSHFORD,"[-78.186704, 42.417216]",2701,NY,14777
SALAMANCA,"[-78.73042, 42.16035]",8632,NY,14779
SHERMAN,"[-79.585742, 42.163124]",2184,NY,14781
SINCLAIRVILLE,"[-79.267297, 42.24548]",3065,NY,14782
STOCKTON,"[-79.375792, 42.318195]",1894,NY,14784
WESTFIELD,"[-79.572646, 42.321977]",5872,NY,14787
ADDISON,"[-77.266027, 42.09825]",4967,NY,14801
ALFRED,"[-77.79295, 42.255165]",4559,NY,14802
ALFRED STATION,"[-77.778084, 42.255799]",1071,NY,14803
ALMOND,"[-77.777965, 42.316036]",1642,NY,14804
ALPINE,"[-76.734775, 42.351014]",1098,NY,14805
ANDOVER,"[-77.792008, 42.157454]",2489,NY,14806
ARKPORT,"[-77.691778, 42.422466]",2937,NY,14807
ATLANTA,"[-77.480091, 42.556269]",472,NY,14808
WALLACE,"[-77.434254, 42.41513]",2448,NY,14809
VETERANS ADMINIS,"[-77.323255, 42.345451]",12982,NY,14810
BEAVER DAMS,"[-76.971953, 42.279763]",3765,NY,14812
BELMONT,"[-78.01103, 42.233409]",1773,NY,14813
BIG FLATS,"[-76.952721, 42.145509]",1892,NY,14814
BRADFORD,"[-77.09134, 42.382517]",944,NY,14815
BREESPORT,"[-76.73612, 42.19392]",160,NY,14816
BROOKTONDALE,"[-76.366844, 42.37653]",2665,NY,14817
BURDETT,"[-76.829219, 42.439442]",1714,NY,14818
CAMERON,"[-77.440341, 42.21284]",698,NY,14819
CAMERON MILLS,"[-77.364976, 42.192547]",723,NY,14820
CAMPBELL,"[-77.206619, 42.238569]",2966,NY,14821
CANASERAGA,"[-77.795374, 42.458504]",1458,NY,14822
CANISTEO,"[-77.589706, 42.263503]",3945,NY,14823
CAYUTA,"[-76.697367, 42.277445]",599,NY,14824
CHEMUNG,"[-76.620224, 42.039243]",615,NY,14825
COHOCTON,"[-77.499763, 42.500315]",2286,NY,14826
CORNING,"[-77.047546, 42.138331]",19957,NY,14830
DALTON,"[-77.928889, 42.544895]",875,NY,14836
DUNDEE,"[-77.002773, 42.505261]",5125,NY,14837
ERIN,"[-76.681942, 42.185898]",2053,NY,14838
GREENWOOD,"[-77.636041, 42.139809]",927,NY,14839
HAMMONDSPORT,"[-77.197702, 42.431217]",3068,NY,14840
HECTOR,"[-76.878597, 42.49658]",147,NY,14841
HIMROD,"[-76.950774, 42.594454999999996]",726,NY,14842
HORNELL,"[-77.656907, 42.327393]",14311,NY,14843
HORSEHEADS,"[-76.834539, 42.180493]",20799,NY,14845
HUNT,"[-77.981839, 42.538821]",1236,NY,14846
INTERLAKEN,"[-76.726798, 42.616524]",2148,NY,14847
ITHACA COLLEGE,"[-76.492911, 42.448497]",40760,NY,14850
ITHACA,"[-76.488707, 42.443087]",20379,NY,14853
JASPER,"[-77.499909, 42.128962]",870,NY,14855
LINDLEY,"[-77.154132, 42.042483]",1765,NY,14858
LOCKWOOD,"[-76.536618, 42.114943]",951,NY,14859
LODI,"[-76.833904, 42.596555]",1209,NY,14860
LOWMAN,"[-76.693005, 42.06938]",2338,NY,14861
MILLPORT,"[-76.839233, 42.258084]",1432,NY,14864
MONTOUR FALLS,"[-76.839581, 42.343678]",2851,NY,14865
NEWFIELD,"[-76.591978, 42.362137]",5311,NY,14867
ODESSA,"[-76.771698, 42.360947]",1471,NY,14869
PAINTED POST,"[-77.119375, 42.170967]",9269,NY,14870
PINE CITY,"[-76.881519, 42.041938]",4911,NY,14871
PINE VALLEY,"[-76.865206, 42.234795]",252,NY,14872
PRATTSBURG,"[-77.282455, 42.526918]",2534,NY,14873
PULTENEY,"[-77.169108, 42.523275]",504,NY,14874
REXVILLE,"[-77.676663, 42.072645]",539,NY,14877
ROCK STREAM,"[-76.936436, 42.448511]",703,NY,14878
SAVONA,"[-77.208345, 42.30407]",1982,NY,14879
SCIO,"[-77.990026, 42.169703]",2491,NY,14880
SLATERVILLE SPRI,"[-76.315677, 42.401119]",107,NY,14881
LANSING,"[-76.537455, 42.564494]",4043,NY,14882
SPENCER,"[-76.489853, 42.246736]",3829,NY,14883
SWAIN,"[-77.88899, 42.477314]",267,NY,14884
TROUPSBURG,"[-77.550208, 42.050083]",831,NY,14885
TRUMANSBURG,"[-76.668145, 42.520987]",6379,NY,14886
VALOIS,"[-76.860879, 42.524304]",547,NY,14888
VAN ETTEN,"[-76.571663, 42.208455]",1477,NY,14889
WATKINS GLEN,"[-76.90215, 42.377121]",4584,NY,14891
WAVERLY,"[-76.533308, 42.017228]",8262,NY,14892
WELLSBURG,"[-76.772315, 42.027317]",2829,NY,14894
WELLSVILLE,"[-77.94191, 42.110757]",9645,NY,14895
WHITESVILLE,"[-77.810615, 42.045586]",1178,NY,14897
WOODHULL,"[-77.420333, 42.073638]",1318,NY,14898
ELMIRA,"[-76.811977, 42.100769]",19037,NY,14901
ELMIRA HEIGHTS,"[-76.843572, 42.130203]",7918,NY,14903
ELMIRA,"[-76.803735, 42.072866]",18103,NY,14904
ELMIRA,"[-76.839686, 42.086919]",10018,NY,14905
MACARTHUR,"[-80.281567, 40.604424]",36849,PA,15001
FAIROAKS,"[-80.219778, 40.595368]",13449,PA,15003
BADEN,"[-80.198471, 40.641595]",10068,PA,15005
BAKERSTOWN,"[-79.930956, 40.647826]",782,PA,15007
BEAVER,"[-80.336528, 40.697184]",14968,PA,15009
RACINE,"[-80.33988, 40.766234]",30623,PA,15010
ROSTRAVER,"[-79.83454, 40.14368]",18967,PA,15012
BRACKENRIDGE,"[-79.741375, 40.608223]",3674,PA,15014
BRADFORDWOODS,"[-80.082305, 40.634175]",2319,PA,15015
BRIDGEVILLE,"[-80.115293, 40.347195]",12705,PA,15017
BUENA VISTA,"[-79.791874, 40.278635]",1186,PA,15018
BULGER,"[-80.362192, 40.405119]",1118,PA,15019
PARIS,"[-80.444485, 40.390114]",5527,PA,15021
CHARLEROI,"[-79.92002, 40.140402]",11800,PA,15022
CHESWICK,"[-79.841002, 40.568117]",9823,PA,15024
LARGE,"[-79.910096, 40.298917]",17031,PA,15025
CLINTON,"[-80.342282, 40.513148]",2543,PA,15026
CONWAY,"[-80.234899, 40.664917]",2438,PA,15027
CREIGHTON,"[-79.78177, 40.582051]",1761,PA,15030
CUDDY,"[-80.164432, 40.360069]",1037,PA,15031
DONORA,"[-79.861858, 40.176821]",5928,PA,15033
DRAVOSBURG,"[-79.889461, 40.352676]",2377,PA,15034
EAST MC KEESPORT,"[-79.807881, 40.383944]",2698,PA,15035
ELIZABETH,"[-79.856842, 40.265575]",12937,PA,15037
FREEDOM,"[-80.214663, 40.683023]",9416,PA,15042
GEORGETOWN,"[-80.490023, 40.574275]",2810,PA,15043
GIBSONIA,"[-79.944307, 40.625233]",18318,PA,15044
GLASSPORT,"[-79.888324, 40.325952]",5582,PA,15045
HARWICK,"[-79.805115, 40.557433]",1111,PA,15049
HOOKSTOWN,"[-80.436268, 40.542929]",2933,PA,15050
INDIANOLA,"[-79.881765, 40.576605]",1539,PA,15051
INDUSTRY,"[-80.415085, 40.667101]",2908,PA,15052
JOFFRE,"[-80.391542, 40.381027]",1634,PA,15053
LAWRENCE,"[-80.144029, 40.311615]",1933,PA,15055
LEETSDALE,"[-80.209874, 40.566165]",1387,PA,15056
MC DONALD,"[-80.256204, 40.369664]",9077,PA,15057
MIDLAND,"[-80.468952, 40.658962]",6476,PA,15059
MIDWAY,"[-80.29209, 40.367974]",1043,PA,15060
MONACA,"[-80.291743, 40.671847]",13344,PA,15061
MONESSEN,"[-79.883526, 40.152379]",9906,PA,15062
MONONGAHELA,"[-79.924127, 40.193728]",13183,PA,15063
MORGAN,"[-80.154064, 40.360433]",1751,PA,15064
NATRONA,"[-79.725621, 40.628862]",13305,PA,15065
NEW BRIGHTON,"[-80.29722, 40.739333]",12222,PA,15066
NEW EAGLE,"[-79.953408, 40.206573]",2222,PA,15067
ARNOLD,"[-79.741547, 40.571179]",41922,PA,15068
NOBLESTOWN,"[-80.202615, 40.428734]",11012,PA,15071
ROCHESTER,"[-80.260315, 40.715745]",10784,PA,15074
RUSSELLTON,"[-79.837102, 40.614344]",1437,PA,15076
SHIPPINGPORT,"[-80.419866, 40.626012]",227,PA,15077
SLOVAN,"[-80.399239, 40.363086]",1620,PA,15078
SUTERSVILLE,"[-79.792223, 40.238207]",1467,PA,15083
TARENTUM,"[-79.785204, 40.618651]",10752,PA,15084
LEVEL GREEN,"[-79.755157, 40.385155]",3345,PA,15085
WARRENDALE,"[-80.080705, 40.664149]",379,PA,15086
WEST NEWTON,"[-79.757976, 40.207549]",7641,PA,15089
WEXFORD,"[-80.064879, 40.612044]",14960,PA,15090
ALLISON PARK,"[-79.966512, 40.569975]",22474,PA,15101
BETHEL PARK,"[-80.039793, 40.320984]",31160,PA,15102
RANKIN,"[-79.864352, 40.406304]",13915,PA,15104
CARNEGIE,"[-80.091532, 40.402941]",19539,PA,15106
MOON TWP,"[-80.18969, 40.513245]",35285,PA,15108
DUQUESNE,"[-79.852244, 40.370449]",8525,PA,15110
EAST PITTSBURGH,"[-79.83889, 40.403577]",4145,PA,15112
GLENSHAW,"[-79.964351, 40.537492]",16588,PA,15116
MUNHALL,"[-79.904199, 40.394171]",21866,PA,15120
W MIFFLIN FIN,"[-79.89429, 40.366535]",22805,PA,15122
IMPERIAL,"[-80.264861, 40.458384]",3626,PA,15126
LIBRARY,"[-80.001144, 40.292199]",11353,PA,15129
WHITE OAK,"[-79.810519, 40.341147]",9410,PA,15131
MC KEESPORT,"[-79.8452, 40.341713]",27694,PA,15132
MC KEESPORT,"[-79.866759, 40.332835]",7385,PA,15133
BOSTON,"[-79.812844, 40.304412]",5385,PA,15135
MC KEES ROCKS,"[-80.087567, 40.471742]",25092,PA,15136
NORTH VERSAILLES,"[-79.812427, 40.376248]",12237,PA,15137
OAKMONT,"[-79.836865, 40.519647]",6961,PA,15139
PITCAIRN,"[-79.776951, 40.404787]",4083,PA,15140
PRESTO,"[-80.120922, 40.384664]",864,PA,15142
SEWICKLEY,"[-80.157848, 40.557031]",15849,PA,15143
SPRINGDALE,"[-79.784447, 40.543999]",4858,PA,15144
