city,loc,pop,state,zip
SPRINGFIELD,"[-72.527445, 42.092937]",14618,MA,1118
SPRINGFIELD,"[-72.51211, 42.12473]",13040,MA,1119
SPRINGFIELD,"[-72.488903, 42.094397]",3272,MA,1128
SPRINGFIELD,"[-72.487622, 42.122263]",6831,MA,1129
INDIAN ORCHARD,"[-72.505048, 42.153225]",8702,MA,1151
PITTSFIELD,"[-73.247088, 42.453086]",50655,MA,1201
ADAMS,"[-73.117225, 42.622319]",9901,MA,1220
ASHLEY FALLS,"[-73.320195, 42.059552]",561,MA,1222
BECKET,"[-73.120325, 42.359363]",1070,MA,1223
CHESHIRE,"[-73.157964, 42.561059]",3094,MA,1225
DALTON,"[-73.160259, 42.475046]",7357,MA,1226
GREAT BARRINGTON,"[-73.36065, 42.195922]",10603,MA,1230
PERU,"[-73.092433, 42.434604]",2559,MA,1235
HOUSATONIC,"[-73.374544, 42.265296]",802,MA,1236
HANCOCK,"[-73.248737, 42.541961]",2328,MA,1237
LEE,"[-73.231696, 42.298994]",6916,MA,1238
LENOX,"[-73.271322, 42.364241]",5001,MA,1240
MIDDLEFIELD,"[-73.006226, 42.34795]",384,MA,1243
WEST OTIS,"[-73.213452, 42.187847]",329,MA,1245
CLARKSBURG,"[-73.10999, 42.69865]",19054,MA,1247
OTIS,"[-73.082093, 42.18988]",1060,MA,1253
RICHMOND,"[-73.364457, 42.378398]",1134,MA,1254
SANDISFIELD,"[-73.116285, 42.109429]",651,MA,1255
SAVOY,"[-73.023281, 42.576964]",632,MA,1256
SHEFFIELD,"[-73.361091, 42.100102]",1839,MA,1257
SOUTH EGREMONT,"[-73.456575, 42.101153]",135,MA,1258
SOUTHFIELD,"[-73.260933, 42.078014]",622,MA,1259
STOCKBRIDGE,"[-73.322263, 42.30104]",2200,MA,1262
WEST STOCKBRIDGE,"[-73.38251, 42.334752]",1173,MA,1266
WILLIAMSTOWN,"[-73.20364, 42.708883]",8220,MA,1267
WINDSOR,"[-73.04661, 42.509494]",770,MA,1270
LEYDEN,"[-72.601847, 42.601222]",18968,MA,1301
ASHFIELD,"[-72.810998, 42.523207]",1535,MA,1330
NEW SALEM,"[-72.214644, 42.592065]",14077,MA,1331
LEYDEN,"[-72.563439, 42.683784]",2426,MA,1337
BUCKLAND,"[-72.764124, 42.615174]",16,MA,1338
HAWLEY,"[-72.880162, 42.621802]",1325,MA,1339
COLRAIN,"[-72.726508, 42.67905]",2050,MA,1340
CONWAY,"[-72.702473, 42.513832]",1524,MA,1341
DEERFIELD,"[-72.607234, 42.540636]",1281,MA,1342
ERVING,"[-72.416638, 42.604957]",635,MA,1344
HEATH,"[-72.839101, 42.685347]",174,MA,1346
MILLERS FALLS,"[-72.494626, 42.576206]",1893,MA,1349
MONROE,"[-72.960156, 42.723885]",97,MA,1350
MONTAGUE,"[-72.532837, 42.542864]",1699,MA,1351
NEW SALEM,"[-72.306241, 42.514643]",456,MA,1355
NORTHFIELD,"[-72.450995, 42.688705]",2829,MA,1360
NEW SALEM,"[-72.305867, 42.591231]",8544,MA,1364
PETERSHAM,"[-72.189349, 42.489761]",1131,MA,1366
ROWE,"[-72.925776, 42.695289]",630,MA,1367
SHELBURNE FALLS,"[-72.739059, 42.602203]",4525,MA,1370
SOUTH DEERFIELD,"[-72.615268, 42.475616]",5118,MA,1373
SUNDERLAND,"[-72.567569, 42.453947]",3399,MA,1375
TURNERS FALLS,"[-72.54701, 42.606521]",7100,MA,1376
WENDELL,"[-72.400851, 42.565644]",393,MA,1379
FITCHBURG,"[-71.803133, 42.579563]",41194,MA,1420
ASHBURNHAM,"[-71.92666, 42.649614]",5433,MA,1430
ASHBY,"[-71.817369, 42.674462]",2649,MA,1431
AYER,"[-71.578763, 42.55914]",6871,MA,1432
FT DEVENS,"[-71.621819, 42.532416]",8480,MA,1433
BALDWINVILLE,"[-72.064647, 42.593568]",4386,MA,1436
GARDNER,"[-71.9898, 42.57405]",20125,MA,1440
GROTON,"[-71.558371, 42.612351]",7504,MA,1450
HARVARD,"[-71.575293, 42.498565]",4445,MA,1451
HUBBARDSTON,"[-72.001159, 42.486538]",2797,MA,1452
LEOMINSTER,"[-71.756308, 42.52744]",38145,MA,1453
LITTLETON,"[-71.487667, 42.540132]",7066,MA,1460
LUNENBURG,"[-71.726642, 42.58843]",9117,MA,1462
PEPPERELL,"[-71.593392, 42.668888]",10178,MA,1463
SHIRLEY CENTER,"[-71.646444, 42.558653]",6118,MA,1464
TEMPLETON,"[-72.064971, 42.545976]",2058,MA,1468
TOWNSEND,"[-71.689646, 42.652511]",6112,MA,1469
WESTMINSTER,"[-71.909599, 42.548319]",6191,MA,1473
W TOWNSEND,"[-71.74057, 42.670404]",2452,MA,1474
WINCHENDON,"[-72.047524, 42.678943]",8805,MA,1475
AUBURN,"[-71.839144, 42.205502]",15007,MA,1501
BERLIN,"[-71.635634, 42.384438]",2293,MA,1503
BLACKSTONE,"[-71.52691, 42.028708]",8023,MA,1504
BOYLSTON,"[-71.731042, 42.337727]",3517,MA,1505
BROOKFIELD,"[-72.098887, 42.199141]",2968,MA,1506
CHARLTON,"[-71.966384, 42.137902]",9576,MA,1507
CLINTON,"[-71.682847, 42.418147]",13269,MA,1510
EAST BROOKFIELD,"[-72.048078, 42.219308]",2033,MA,1515
EAST DOUGLAS,"[-71.726611, 42.060566]",5594,MA,1516
FISKDALE,"[-72.117764, 42.122762]",774,MA,1518
GRAFTON,"[-71.686848, 42.200371]",4910,MA,1519
HOLDEN,"[-71.84142, 42.341983]",12051,MA,1520
HOLLAND,"[-72.154373, 42.040264]",747,MA,1521
JEFFERSON,"[-71.87058, 42.375519]",2478,MA,1522
LANCASTER,"[-71.686831, 42.450984]",6018,MA,1523
LEICESTER,"[-71.918829, 42.237047]",6527,MA,1524
MILLBURY,"[-71.764438, 42.196779]",12228,MA,1527
MILLVILLE,"[-71.579813, 42.033102]",2236,MA,1529
NEW BRAINTREE,"[-72.130642, 42.31977]",881,MA,1531
NORTHBOROUGH,"[-71.646372, 42.318242]",11930,MA,1532
NORTHBRIDGE,"[-71.656366, 42.1494]",4564,MA,1534
NORTH BROOKFIELD,"[-72.082129, 42.266455]",4755,MA,1535
NORTH GRAFTON,"[-71.703691, 42.229726]",5401,MA,1536
NORTH OXFORD,"[-71.885953, 42.16549]",3031,MA,1537
OXFORD,"[-71.868677, 42.11285]",9557,MA,1540
PRINCETON,"[-71.876245, 42.450812]",3189,MA,1541
ROCHDALE,"[-71.906882, 42.199685]",1154,MA,1542
RUTLAND,"[-71.948951, 42.376199]",4936,MA,1543
SHREWSBURY,"[-71.720503, 42.284801]",24146,MA,1545
SOUTHBRIDGE,"[-72.035347, 42.075024]",17816,MA,1550
SOUTH GRAFTON,"[-71.692725, 42.176042]",2719,MA,1560
SPENCER,"[-71.990617, 42.244103]",11598,MA,1562
STERLING,"[-71.775192, 42.435351]",6481,MA,1564
STURBRIDGE,"[-72.084233, 42.112619]",7001,MA,1566
WEST UPTON,"[-71.608014, 42.173275]",4682,MA,1568
UXBRIDGE,"[-71.632869, 42.074426]",10364,MA,1569
DUDLEY HILL,"[-71.839467, 42.047574]",3735,MA,1570
DUDLEY,"[-71.893228, 42.048894]",22001,MA,1571
WESTBOROUGH,"[-71.617604, 42.267891]",14132,MA,1581
WEST BOYLSTON,"[-71.783822, 42.35836]",6611,MA,1583
WEST BROOKFIELD,"[-72.151137, 42.244137]",3528,MA,1585
WHITINSVILLE,"[-71.664357, 42.115319]",8807,MA,1588
WILKINSONVILLE,"[-71.748416, 42.140586]",6719,MA,1590
WORCESTER,"[-71.841678, 42.270251]",19988,MA,1602
WORCESTER,"[-71.837995, 42.245033]",18605,MA,1603
WORCESTER,"[-71.774626, 42.254084]",29036,MA,1604
WORCESTER,"[-71.788795, 42.289391]",25695,MA,1605
WORCESTER,"[-71.795774, 42.311029]",18213,MA,1606
WORCESTER,"[-71.793837, 42.230294]",9048,MA,1607
WORCESTER,"[-71.800262, 42.262425]",3646,MA,1608
WORCESTER,"[-71.817456, 42.275387]",21905,MA,1609
WORCESTER,"[-71.810798, 42.249186]",23720,MA,1610
CHERRY VALLEY,"[-71.874971, 42.237287]",2510,MA,1611
PAXTON,"[-71.920234, 42.306646]",4047,MA,1612
FRAMINGHAM,"[-71.425486, 42.300665]",65046,MA,1701
VILLAGE OF NAGOG,"[-71.422354, 42.514941]",2330,MA,1718
BOXBORO,"[-71.518229, 42.486876]",3343,MA,1719
ACTON,"[-71.448255, 42.475076]",15514,MA,1720
ASHLAND,"[-71.458347, 42.253909]",12066,MA,1721
BEDFORD,"[-71.276796, 42.484287]",16147,MA,1730
BOLTON,"[-71.607593, 42.436523]",3134,MA,1740
CARLISLE,"[-71.351892, 42.528562]",4333,MA,1741
CONCORD,"[-71.374741, 42.456701]",17076,MA,1742
SOUTHBOROUGH,"[-71.502256, 42.293221]",506,MA,1745
HOLLISTON,"[-71.436059, 42.202641]",12917,MA,1746
HOPEDALE,"[-71.537601, 42.126796]",5649,MA,1747
HOPKINTON,"[-71.530178, 42.219046]",9191,MA,1748
HUDSON,"[-71.560896, 42.391796]",17233,MA,1749
MARLBOROUGH,"[-71.543355, 42.350861]",31813,MA,1752
MAYNARD,"[-71.454975, 42.432118]",10325,MA,1754
